what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1373717486134
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1373717486134
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1373717486134
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1373717486134
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1373717486134
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1373717486150
os,sysinfo,,,"win32",1373717486150
arch,sysinfo,,,"x86",1373717486150
ws,sysinfo,,,"win32",1373717486150
locale,sysinfo,,,"zh_CN",1373717486150
processors,sysinfo,,,"2",1373717486150
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1373717486150
java.runtime.version,sysinfo,,,"1.7.0-b147",1373717486150
java.specification.name,sysinfo,,,"Java Platform API Specification",1373717486150
java.specification.vendor,sysinfo,,,"Oracle Corporation",1373717486150
java.specification.version,sysinfo,,,"1.7",1373717486150
java.vendor,sysinfo,,,"Oracle Corporation",1373717486150
java.version,sysinfo,,,"1.7.0",1373717486150
java.vm.info,sysinfo,,,"mixed mode",1373717486150
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1373717486150
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1373717486150
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1373717486150
java.vm.specification.version,sysinfo,,,"1.7",1373717486150
java.vm.vendor,sysinfo,,,"Oracle Corporation",1373717486150
java.vm.version,sysinfo,,,"21.0-b17",1373717486150
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1373717497775
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v6.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1373717497884
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1373717497931
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1373717497947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373717498290
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1373717498384
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1373717498415
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v6.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1373717498431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373717508118
activated,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1373717529212
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1373717531025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373717531165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373717532306
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1373717532384
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v6.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1373717532384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373717532462
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v6.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1373717532525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373717533822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1373717535915
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1373717536150
